question,faithfulness,answer_relevancy,context_precision,context_relevancy,context_recall,answer_correctness
what happens if my payment fails?,1.0,0.69,,0.267,1.0,0.962
what is an LLM?,0.333,0.822,0.25,0.231,,
explain me this pdf,0.923,0.125,0.5,0.333,0.667,0.699
how to implement the ai pdf copiolt?,0.929,0.59,0.333,0.882,,
what does this image consist of give me all the info available,0.929,0.491,1.0,0.333,,
for what is the booking conformed?,0.25,0.489,0.0,0.133,,
where is the venue?\,0.5,0.498,0.5,0.1,0.8,0.885
explain me about the getting started dashboard pdf what in there?,0.833,0.51,1.0,0.107,,
can u explain me about llm documentation,0.333,0.725,0.333,0.087,0.0,0.156
what,0.5,0.178,0.5,0.35,,
how many times does wenext word present in the pd,0.5,0.729,0.417,0.091,,
what does the image contain,0.818,0.425,0.5,0.441,,
can u see a person there i am able to see,0.0,0.439,0.0,0.08,0.333,0.913
what does this image consist of?,1.0,0.529,,0.222,,
what does the image have?,0.5,0.558,0.5,0.536,,
can you see a man wearing these as i see?,0.0,0.402,,0.0,,
but there is no cat,1.0,0.212,,0.0,,
then why havent you told this in the first responce?,0.5,0.262,,0.05,0.5,0.788
what do you see in this image,1.0,0.452,,0.0,,
explain me the image,1.0,0.355,0.333,0.0,,
explain me the other image with a women,0.667,0.407,0.333,0.263,,
what exactly is there in the potrait of a person describe his features,0.5,0.38,0.5,0.273,,
tell me about the person,0.923,0.256,0.333,0.667,0.5,0.114
what is langchain?,1.0,0.351,0.806,0.075,,
What is Meta Business Manager and why do I need it?,0.75,0.76,0.417,0.094,,
"Meta Business Manager (now called Meta Business Portfolio) is your central hub for all Meta assets — your Facebook Page, WhatsApp Business Account (WABA), ad accounts, and payment methods. You cannot connect to the WhatsApp Business API without an active, verified Business Manager.",0.714,0.7,,0.13,0.833,0.966
why didnt you tell this the first time?,0.667,0.274,,0.138,0.5,0.802
How do I create a Meta Business Manager?,0.857,0.824,0.833,0.375,,
What must be active in Business Manager before onboarding with WeNext?,0.75,0.814,0.583,0.08,,
What is Business Verification?,1.0,0.73,,0.217,,
What documents does Meta accept for verification?,1.0,0.849,0.333,0.074,,
you the answer in the pdf i provided,1.0,0.442,,0.72,,0.121
How do I add a payment method in Meta?,0.857,0.851,,0.25,,
How do I add a payment method in Meta?,1.0,0.811,,0.25,,
What happens if my payment method fails?,1.0,0.715,,0.667,,
"How do I move from Tier 0 (250 messages) to Tier 1 (2,000)?",1.0,0.547,,0.25,,
Can I edit a template after submission?,1.0,0.702,,0.111,0.667,0.974
Why do I need to send templates before activating flows?,0.75,0.349,,0.25,1.0,0.149
What type of phone number can I use? • Any valid phone number that can receive,0.667,0.599,,0.167,,
Q: Can two WeNext accounts share the same WhatsApp number?,1.0,0.664,,0.2,,
