faithfulness,answer_relevancy,context_precision,context_relevancy,question
0.4,0.258,0.333,0.154,give me all that is there in this picture
0.5,0.147,,0.455,]
0.5,0.181,,0.182,ok
1.0,0.63,1.0,0.16,what happens if the payment fails?
0.333,0.822,0.25,0.231,what is an LLM?
0.923,0.125,0.5,0.333,explain me this pdf
0.929,0.59,0.333,0.882,how to implement the ai pdf copiolt?
0.929,0.491,1.0,0.333,what does this image consist of give me all the info available
0.25,0.489,0.0,0.133,for what is the booking conformed?
0.5,0.498,0.5,0.1,where is the venue?\
0.833,0.51,1.0,0.107,explain me about the getting started dashboard pdf what in there?
0.333,0.725,0.333,0.087,can u explain me about llm documentation
0.5,0.178,0.5,0.35,what
0.5,0.729,0.417,0.091,how many times does wenext word present in the pd
0.818,0.425,0.5,0.441,what does the image contain
0.0,0.439,0.0,0.08,can u see a person there i am able to see
1.0,0.529,,0.222,what does this image consist of?
0.5,0.558,0.5,0.536,what does the image have?
0.0,0.402,,0.0,can you see a man wearing these as i see?
1.0,0.224,,0.0,but there is no cat
0.5,0.262,,0.05,then why havent you told this in the first responce?
1.0,0.452,,0.0,what do you see in this image
1.0,0.355,0.333,0.0,explain me the image
0.667,0.407,0.333,0.263,explain me the other image with a women
0.5,0.427,0.5,0.273,what exactly is there in the potrait of a person describe his features
0.923,0.256,0.333,0.667,tell me about the person
1.0,0.351,0.806,0.075,what is langchain?
0.75,0.76,0.417,0.094,What is Meta Business Manager and why do I need it?
0.714,0.7,,0.13,"Meta Business Manager (now called Meta Business Portfolio) is your central hub for all Meta assets — your Facebook Page, WhatsApp Business Account (WABA), ad accounts, and payment methods. You cannot connect to the WhatsApp Business API without an active, verified Business Manager."
0.667,0.274,,0.138,why didnt you tell this the first time?
0.857,0.824,0.833,0.375,How do I create a Meta Business Manager?
0.75,0.814,0.583,0.08,What must be active in Business Manager before onboarding with WeNext?
1.0,0.73,,0.217,What is Business Verification?
1.0,0.849,0.333,0.074,What documents does Meta accept for verification?
1.0,0.442,,0.72,you the answer in the pdf i provided
0.857,0.851,,0.25,How do I add a payment method in Meta?
1.0,0.737,,0.667,What happens if my payment method fails?
1.0,0.547,,0.25,"How do I move from Tier 0 (250 messages) to Tier 1 (2,000)?"
1.0,0.702,,0.111,Can I edit a template after submission?
0.75,0.349,,0.25,Why do I need to send templates before activating flows?
0.667,0.599,,0.167,What type of phone number can I use? • Any valid phone number that can receive
1.0,0.664,,0.2,Q: Can two WeNext accounts share the same WhatsApp number?
0.5,0.697,,1.0,"how many number of mindsets are there?And what are they, Explain about them briefly."
0.714,0.696,,0.5,give me about the three mindsets
1.0,0.841,,0.667,What is the main goal of the Thinking and Problem Solving module?
1.0,0.665,,0.6,What does LEAP stand for?
1.0,0.663,,0.625,What is a thinking style?
0.6,0.388,,0.667,What are the four thinking skill categories introduced in the module?
0.667,0.79,,0.5,Are thinking styles the same as abilities?
0.5,0.756,,0.375,Can thinking styles change over time?
0.6,0.847,,0.4,What are the four dimensions of high-performance thinking?
1.0,0.398,,1.0,"I'm asking about red,yellow,green,white what are these?"
0.333,0.716,,0.5,What does the Red dimension represent?
1.0,0.861,,1.0,What does the Yellow dimension represent?
0.4,0.845,,0.5,What does the Green dimension represent?
1.0,0.858,,0.286,What are the six executive functions discussed in the module?
0.143,0.586,,0.667,"Mental flexibility, problem solving, attention control, self-regulation, planning and execution, and working memory."
0.167,0.83,,0.5,What is the purpose of the 4D-i assessment?
1.0,0.368,,0.5,"It helps individuals understand themselves better, improve thinking skills, build self-awareness, and develop workplace skills."
1.0,0.732,,0.5,Does the 4D-i measure abilities?
,0.561,,0.167,"It indicates a high preference for a particular thinking strategy or color, not greater ability."
0.5,0.552,,0.429,What are the Seven Ways to be Great?
0.5,0.005,,0.143,it listed
0.2,0.764,,0.5,What are the three typical problem-solving mistakes?
0.25,0.597,,0.5,Why is lack of a process considered a mistake?
0.857,0.769,0.0,0.4,Why is overconfidence dangerous in problem solving?
1.0,0.322,,0.25,"What does ""mistaking talking for progress"" mean?"
1.0,0.669,,0.5,What are the three key guidelines for smart problem solving?
0.857,0.371,,0.333,"First decide the type of outcome you want, then use the appropriate thinking process, and keep the desired outcome in mind while solving the problem. (The visible portion of the uploaded text explicitly begins with deciding the desired outcome as the first guideline.)"
0.889,0.366,,1.0,what can you see in this image?
0.5,0.359,,0.6,i can see a person
0.6,0.561,1.0,0.182,describe the cat
0.25,0.671,0.0,0.4,can u tell me about cat features
1.0,0.653,0.0,0.4,can u tell me about cat
1.0,0.67,0.0,0.0,can u descibe me about the cat
0.923,0.65,,1.0,how to approach a red person?
1.0,0.645,0.0,0.4,can you tell me which color is the backgroubnd
0.75,0.58,,0.111,can see a person backside
0.615,0.256,,0.5,explain phase 1
0.579,0.654,,0.154,who is a red person?
1.0,0.635,,1.0,if my manager is a green person how do i talk and interact with him?
0.222,0.443,,0.222,can you give me a flow chat of that image?
1.0,0.124,,0.5,what is an llm
1.0,0.155,,,what is a token?
,0.651,,0.158,who is a green person?
0.909,0.525,,1.0,who is a yellow person?
1.0,0.556,,1.0,who is a red person
1.0,0.44,0.833,0.1,What does the Experience Exercise section on 'Thinking about' ask you to reflect on or do?
1.0,0.616,,0.19,my manager is a green person how should i approach him
0.917,0.535,0.5,0.2,WHO IS A RED PERSON
,0.52,,0.05,who is a yellow and white person?
0.857,0.504,0.0,0.095,who is a red and white person?
0.667,0.772,0.0,0.182,who is a white person?
0.75,0.41,0.333,0.091,in terms of personality styles
0.5,0.965,0.0,0.222,where did the document printed?
1.0,0.779,1.0,0.188,why do we need mindmap?
1.0,0.711,0.583,0.294,what does all mindmap have in common?
1.0,0.747,0.333,0.154,what are the five essentials of a mindmap?
1.0,0.801,1.0,0.214,"Explain the LEAP Framework for Learning. What does each letter in LEAP stand for, and how is each component used in the learning process?"
1.0,0.693,0.333,0.25,Describe the Four Dimensions of High Performance Thinking and explain the role of each color in the SmartSkills common language.
1.0,0.792,1.0,0.062,what does all mind map have in common
1.0,0.768,0.5,0.143,Five Essentials of mind map
1.0,0.695,0.0,0.118,can you explain about the founder?
1.0,0.769,0.0,0.0,who is the president of india
0.9,0.816,1.0,0.2,"What is Lesson 3 in the 'Speaking, Presenting and Communicating' section about?"
1.0,0.852,1.0,0.2,Name the four dimensions of High Performance Thinking.
1.0,0.489,,0.194,explain me this document
0.933,0.242,,0.161,explain me the whole pdf
